fecha,temp_amb,hum_amb,presion,temp_suelo,hum_suelo,ph_suelo
2026-02-15 23:51:06,21.55,89.94,1013.38,16.21,25.57,6.21
2026-02-16 00:01:06,21.04,89.0,1009.85,15.83,25.83,6.2
2026-02-16 00:11:06,21.55,89.5,1012.66,15.97,23.92,6.2
2026-02-16 00:21:06,21.6,89.71,1013.5,15.58,25.44,6.21
2026-02-16 00:31:06,21.14,90.0,1011.83,15.42,25.1,6.21
2026-02-16 00:41:06,21.0,89.1,1013.34,15.38,24.8,6.16
2026-02-16 00:51:06,21.49,89.79,1011.12,15.26,25.88,6.2
2026-02-16 01:01:06,21.31,89.63,1015.51,15.05,24.74,6.21
2026-02-16 01:11:06,21.0,89.9,1012.5,15.13,24.83,6.21
2026-02-16 01:21:06,21.0,90.0,1011.47,14.68,25.72,6.22
2026-02-16 01:31:06,21.0,89.66,1012.7,14.66,25.35,6.16
2026-02-16 01:41:06,21.24,89.82,1011.85,14.37,24.26,6.19
2026-02-16 01:51:06,21.22,89.79,1014.02,14.48,25.11,6.22
2026-02-16 02:01:06,21.0,90.0,1011.5,14.46,24.11,6.25
2026-02-16 02:11:06,21.49,90.0,1010.47,14.58,24.3,6.19
2026-02-16 02:21:06,21.0,90.0,1011.79,14.43,25.08,6.2
2026-02-16 02:31:06,21.03,90.0,1012.06,14.23,24.4,6.22
2026-02-16 02:41:06,21.18,89.53,1013.65,14.73,25.18,6.19
2026-02-16 02:51:06,21.39,90.0,1014.11,14.21,24.23,6.18
2026-02-16 03:01:06,21.0,90.0,1012.54,14.26,24.14,6.19
2026-02-16 03:11:06,21.53,89.96,1010.92,14.06,24.2,6.25
2026-02-16 03:21:06,21.67,89.25,1011.94,14.13,24.78,6.2
2026-02-16 03:31:06,21.32,89.37,1010.77,14.31,24.99,6.2
2026-02-16 03:41:06,21.31,90.0,1009.03,13.69,23.78,6.24
2026-02-16 03:51:06,21.07,89.65,1010.2,13.72,25.87,6.22
2026-02-16 04:01:06,21.6,89.61,1010.41,14.2,25.28,6.2
2026-02-16 04:11:06,21.25,89.65,1012.08,13.84,24.49,6.22
2026-02-16 04:21:06,21.39,89.11,1010.7,14.41,24.12,6.2
2026-02-16 04:31:06,21.67,89.56,1012.88,14.31,25.21,6.22
2026-02-16 04:41:06,21.92,90.0,1010.97,14.28,25.15,6.19
2026-02-16 04:51:06,22.15,89.58,1010.08,14.17,25.47,6.18
2026-02-16 05:01:06,22.17,89.21,1014.53,14.04,24.66,6.2
2026-02-16 05:11:06,22.12,89.57,1011.18,14.25,25.27,6.2
2026-02-16 05:21:06,22.19,88.89,1012.91,14.45,25.44,6.2
2026-02-16 05:31:06,22.3,88.56,1010.57,14.2,25.17,6.19
2026-02-16 05:41:06,22.11,88.87,1012.18,14.17,25.19,6.18
2026-02-16 05:51:06,22.56,88.59,1012.4,14.51,25.15,6.16
2026-02-16 06:01:06,22.33,87.92,1014.6,14.84,25.19,6.21
2026-02-16 06:11:06,22.99,87.84,1013.79,14.62,24.91,6.21
2026-02-16 06:21:06,23.06,88.43,1012.07,14.95,25.32,6.15
2026-02-16 06:31:06,22.49,88.47,1012.38,14.79,25.38,6.22
2026-02-16 06:41:06,23.42,87.66,1013.5,15.1,24.62,6.2
2026-02-16 06:51:06,23.2,86.9,1013.37,14.79,24.52,6.16
2026-02-16 07:01:06,23.34,88.11,1012.94,15.42,24.93,6.24
2026-02-16 07:11:06,23.68,88.49,1013.12,15.5,24.75,6.24
2026-02-16 07:21:06,23.43,88.27,1011.23,15.49,25.1,6.17
2026-02-16 07:31:06,23.74,87.04,1010.28,15.4,25.1,6.22
2026-02-16 07:41:06,23.57,87.2,1009.68,15.52,23.5,6.2
2026-02-16 07:51:06,24.21,88.01,1012.78,15.67,25.46,6.19
2026-02-16 08:01:06,24.36,87.08,1012.65,16.08,24.5,6.21
2026-02-16 08:11:06,24.88,87.21,1012.8,16.04,24.6,6.23
2026-02-16 08:21:06,25.07,87.04,1014.16,16.43,24.85,6.19
2026-02-16 08:31:06,25.2,87.04,1011.85,16.65,25.38,6.21
2026-02-16 08:41:06,24.98,86.76,1009.32,16.68,24.86,6.17
2026-02-16 08:51:06,25.75,85.57,1013.55,17.11,25.87,6.2
2026-02-16 09:01:06,25.7,85.21,1012.26,16.83,24.66,6.2
2026-02-16 09:11:06,25.83,86.84,1011.46,16.81,25.62,6.2
2026-02-16 09:21:06,25.65,84.8,1013.29,17.25,25.24,6.18
2026-02-16 09:31:06,25.99,86.28,1010.36,17.41,24.48,6.21
2026-02-16 09:41:06,26.0,86.18,1010.76,17.66,24.65,6.2
2026-02-16 09:51:06,26.51,85.69,1011.78,17.59,24.58,6.2
2026-02-16 10:01:06,26.57,84.85,1013.53,17.7,25.92,6.2
2026-02-16 10:11:06,26.54,85.37,1013.57,18.35,25.09,6.18
2026-02-16 10:21:06,25.99,85.03,1012.04,18.37,25.02,6.22
2026-02-16 10:31:06,26.33,85.07,1013.11,18.62,25.21,6.22
2026-02-16 10:41:06,26.87,85.08,1010.34,18.27,25.43,6.2
2026-02-16 10:51:06,27.18,85.0,1010.22,18.67,24.75,6.16
